2021-06-07 22:46:18,240 : Flow Logger HTML_M : Starting HTML Conversion To Json | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:18,245 : Style Dictionary_R : Reading style dictionary in file: rule_dictionary_es.json | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:18,280 : Style Dictionary_R : Qrd Section Keys Retrieved For Style Dictionary: ANEXO I, ANEXO II, ANEXO III, B. PROSPECTO | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:20,065 : Parser_j : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\outputJSON\gonal-f_clean.txt | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:31,365 : Parser_j : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\outputJSON\gonal-f_clean.json | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:32,167 : Flow Logger HTML_M : Completed HTML Conversion To Json | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:32,169 : Flow Logger HTML_M : HTML Conversion To Json,0.2321 Min,12.306342 MB,44.619325 MB,48.0%
 | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:32,187 : Flow Logger HTML_M : Starting Json Split | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:32,191 : Style Dictionary_c : Reading style dictionary in file: rule_dictionary_es.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:32,240 : Style Dictionary_c : Qrd Section Keys Retrieved For Style Dictionary: ANEXO I, ANEXO II, ANEXO III, B. PROSPECTO | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:32,247 : Partition_6 : Partitioning Json: gonal-f_clean.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:33,356 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\partitionedJSONs\gonal-f_clean_SmPC.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:33,560 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\partitionedJSONs\gonal-f_clean_ANEXO II.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:33,788 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\partitionedJSONs\gonal-f_clean_ANEXO III.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:33,810 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\GONAL-f\es\2021-06-06T11-29-47Z\partitionedJSONs\gonal-f_clean_ PROSPECTO.json | H | CAP |  es | Json | gonal-f_clean.json
2021-06-07 22:46:33,868 : Flow Logger HTML_M : ['gonal-f_clean_SmPC.json', 'gonal-f_clean_ANEXO II.json', 'gonal-f_clean_ANEXO III.json', 'gonal-f_clean_ PROSPECTO.json'] | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:33,870 : Flow Logger HTML_M : Completed Json Split | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:33,872 : Flow Logger HTML_M : Split Json,0.0281 Min,0.30045 MB,60.047673 MB,48.0%
 | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:33,874 : Flow Logger HTML_M : Started Processing Partitioned Jsons | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:33,877 : Flow Logger HTML_M : 



||||||||||||||||||||||||||||||||0 ||||| gonal-f_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  es | HTML | gonal-f_clean.htm
2021-06-07 22:46:33,883 : Heading Extraction gonal-f_clean_SmPC.json_F : Starting Heading Extraction | H | CAP |  es | 0 | gonal-f_clean_SmPC.json
2021-06-07 22:46:34,438 : Heading Extraction gonal-f_clean_SmPC.json_F : Started Extracting Heading | H | CAP |  es | 0 | gonal-f_clean_SmPC.json
2021-06-07 22:46:34,726 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- 'FICHA TÉCNICA O RESUMEN DE LAS CARACTERÍSTICAS DEL PRODUCTO' | Qrd txt :- 'FICHA TÉCNICA O RESUMEN DE LAS CARACTERÍSTICAS DEL PRODUCTO' | Matched :- 'True'
2021-06-07 22:46:34,732 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Passed As This The First Heading | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24001' | prevHeadingCurrId :- '' | prevHeadingFoundId :- ''
2021-06-07 22:46:34,775 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- '1. NOMBRE DEL MEDICAMENTO' | Qrd txt :- '1. NOMBRE DEL MEDICAMENTO' | Matched :- 'True'
2021-06-07 22:46:34,784 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Flow Is Broken | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24003' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '24001'
2021-06-07 22:46:34,790 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24003' | prevHeadingCurrId :- '24001' | prevHeadingFoundId :- '24001'
2021-06-07 22:46:37,114 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- '2. COMPOSICIÓN CUALITATIVA Y CUANTITATIVA' | Qrd txt :- '2. COMPOSICIÓN CUALITATIVA Y CUANTITATIVA' | Matched :- 'True'
2021-06-07 22:46:37,123 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24004' | prevHeadingCurrId :- '24003' | prevHeadingFoundId :- '24003'
2021-06-07 22:46:44,430 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- '3. FORMA FARMACÉUTICA' | Qrd txt :- '3. FORMA FARMACÉUTICA' | Matched :- 'True'
2021-06-07 22:46:44,446 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Flow Is Broken | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24008' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '24004'
2021-06-07 22:46:44,457 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24008' | prevHeadingCurrId :- '24004' | prevHeadingFoundId :- '24004'
2021-06-07 22:46:48,120 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- '4. DATOS CLÍNICOS' | Qrd txt :- '4. DATOS CLÍNICOS' | Matched :- 'True'
2021-06-07 22:46:48,140 : Heading Extraction gonal-f_clean_SmPC.json_F : Validation Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | currHeadId :- '24009' | prevHeadingCurrId :- '24008' | prevHeadingFoundId :- '24008'
2021-06-07 22:46:48,351 : Heading Extraction gonal-f_clean_SmPC.json_F : Match Passed | H | CAP |  es | 0 | gonal-f_clean_SmPC.json | Doc txt :- '4.1 Indicaciones terapéuticas' | Qrd txt :- '4.1 Indicaciones terapéuticas' | Matched :- 'True'
